Name,Market value,Period end
BYTOM,98330000.0,2013-12-31
BYTOM,89060000.0,2014-12-31
BYTOM,209480000.0,2015-12-31
BYTOM,149490000.0,2016-12-31
BYTOM,190250000.0,2017-12-31
BZWBK,36258080000.0,2013-12-31
BZWBK,37212950000.0,2014-12-31
BZWBK,28182610000.0,2015-12-31
BZWBK,31358110000.0,2016-12-31
BZWBK,39360890000.0,2017-12-31
BZWBK,36568030000.0,2018-12-31
BZWBK,31381940000.0,2019-12-31
BZWBK,18976560000.0,2020-12-31
BZWBK,35612980000.0,2021-12-31
CALATRAVA,10000000.0,2013-12-31
CALATRAVA,5050000.0,2014-12-31
CALATRAVA,2690000.0,2015-12-31
CALATRAVA,12300000.0,2016-12-31
CALATRAVA,3450000.0,2017-12-31
CALATRAVA,3450000.0,2018-12-31
CAMMEDIA,12020000.0,2013-12-31
CAMMEDIA,24910000.0,2014-12-31
CAPITAL,38620000.0,2013-12-31
CAPITAL,64030000.0,2014-12-31
CAPITAL,51570000.0,2015-12-31
CAPITAL,57040000.0,2016-12-31
CAPITAL,74610000.0,2017-12-31
CAPITAL,37060000.0,2018-12-31
CAPITAL,20740000.0,2019-12-31
CAPITAL,16830000.0,2020-12-31
CAPITAL,27860000.0,2021-12-31
CAPTORTX,742210000.0,2021-12-31
CASHFLOW,3510000.0,2013-12-31
CASHFLOW,1630000.0,2014-12-31
CASHFLOW,980000.0,2015-12-31
CASHFLOW,3010000.0,2016-12-31
CAVATINA,552240000.0,2021-12-31
CCC,4477440000.0,2013-12-31
CCC,5126400000.0,2014-12-31
CCC,5320320000.0,2015-12-31
CCC,7964480000.0,2016-12-31
CCC,11731740000.0,2017-12-31
CCC,7957770000.0,2018-12-31
CCC,4528480000.0,2019-12-31
CCC,4802050000.0,2020-12-31
CCC,5788570000.0,2021-12-31
CCENERGY,104950000.0,2013-12-31
CCENERGY,57250000.0,2014-12-31
CCENERGY,10280000.0,2015-12-31
CCENERGY,10280000.0,2016-12-31
CCENERGY,10280000.0,2017-12-31
CCENERGY,10280000.0,2018-12-31
CCENERGY,10280000.0,2019-12-31
CCENERGY,8570000.0,2020-12-31
CCENERGY,31880000.0,2021-12-31
CCIINT,1630210000.0,2013-12-31
CDPROJEKT,1665420000.0,2013-12-31
CDPROJEKT,1585670000.0,2014-12-31
CDPROJEKT,2103139999.9999998,2015-12-31
CDPROJEKT,5017460000.0,2016-12-31
